events_id,E_sum_cen_biletow_z_rynku_w,E_srednia_cena_biletow_z_rynku_w,E_liczba_biletow_z_rynku_w,E_dostepne_sektory
248924,0,0,0,event bez numerowanych miejsc
249050,0,0,0,event bez numerowanych miejsc
249509,0,0,0,event bez numerowanych miejsc
249544,0,0,0,event bez numerowanych miejsc
249569,0,0,0,event bez numerowanych miejsc
249584,0,0,0,event bez numerowanych miejsc
249585,0,0,0,event bez numerowanych miejsc
249621,0,0,0,event bez numerowanych miejsc
249677,0,0,0,event bez numerowanych miejsc
249679,0,0,0,event bez numerowanych miejsc
249702,0,0,0,event bez numerowanych miejsc
249817,0,0,0,event bez numerowanych miejsc
260900,0,0,0,event bez numerowanych miejsc
260997,0,0,0,event bez numerowanych miejsc
248979,0,0,0,event bez numerowanych miejsc
248989,0,0,0,event bez numerowanych miejsc
249003,0,0,0,event bez numerowanych miejsc
249037,0,0,0,event bez numerowanych miejsc
249501,0,0,0,event bez numerowanych miejsc
249519,0,0,0,event bez numerowanych miejsc
249528,0,0,0,event bez numerowanych miejsc
249576,0,0,0,event bez numerowanych miejsc
249580,0,0,0,event bez numerowanych miejsc
249582,0,0,0,event bez numerowanych miejsc
249588,0,0,0,event bez numerowanych miejsc
249614,0,0,0,event bez numerowanych miejsc
249705,0,0,0,event bez numerowanych miejsc
249714,0,0,0,event bez numerowanych miejsc
249729,0,0,0,event bez numerowanych miejsc
248898,0,0,0,event bez numerowanych miejsc
248900,0,0,0,event bez numerowanych miejsc
248944,0,0,0,event bez numerowanych miejsc
248983,0,0,0,event bez numerowanych miejsc
249007,0,0,0,event bez numerowanych miejsc
249029,0,0,0,event bez numerowanych miejsc
249034,0,0,0,event bez numerowanych miejsc
249103,0,0,0,event bez numerowanych miejsc
249514,0,0,0,event bez numerowanych miejsc
249524,0,0,0,event bez numerowanych miejsc
249617,0,0,0,event bez numerowanych miejsc
249644,0,0,0,event bez numerowanych miejsc
249687,0,0,0,event bez numerowanych miejsc
249700,0,0,0,event bez numerowanych miejsc
249746,0,0,0,event bez numerowanych miejsc
249839,0,0,0,event bez numerowanych miejsc
249909,0,0,0,event bez numerowanych miejsc
248897,0,0,0,event bez numerowanych miejsc
248927,0,0,0,event bez numerowanych miejsc
248976,0,0,0,event bez numerowanych miejsc
248997,0,0,0,event bez numerowanych miejsc
249156,0,0,0,event bez numerowanych miejsc
249478,0,0,0,event bez numerowanych miejsc
249645,0,0,0,event bez numerowanych miejsc
249649,0,0,0,event bez numerowanych miejsc
249670,0,0,0,event bez numerowanych miejsc
249716,0,0,0,event bez numerowanych miejsc
249829,0,0,0,event bez numerowanych miejsc
249842,0,0,0,event bez numerowanych miejsc
249844,0,0,0,event bez numerowanych miejsc
261000,0,0,0,event bez numerowanych miejsc
248951,0,0,0,event bez numerowanych miejsc
248996,0,0,0,event bez numerowanych miejsc
249059,0,0,0,event bez numerowanych miejsc
249486,0,0,0,event bez numerowanych miejsc
249608,0,0,0,event bez numerowanych miejsc
249622,0,0,0,event bez numerowanych miejsc
249637,0,0,0,event bez numerowanych miejsc
249661,0,0,0,event bez numerowanych miejsc
249760,0,0,0,event bez numerowanych miejsc
249808,0,0,0,event bez numerowanych miejsc
248912,0,0,0,event bez numerowanych miejsc
248914,0,0,0,event bez numerowanych miejsc
248925,0,0,0,event bez numerowanych miejsc
248952,0,0,0,event bez numerowanych miejsc
248991,0,0,0,event bez numerowanych miejsc
249535,0,0,0,event bez numerowanych miejsc
249556,0,0,0,event bez numerowanych miejsc
249587,0,0,0,event bez numerowanych miejsc
249620,0,0,0,event bez numerowanych miejsc
249624,0,0,0,event bez numerowanych miejsc
249664,0,0,0,event bez numerowanych miejsc
249698,0,0,0,event bez numerowanych miejsc
249796,0,0,0,event bez numerowanych miejsc
248905,0,0,0,event bez numerowanych miejsc
248915,0,0,0,event bez numerowanych miejsc
248940,0,0,0,event bez numerowanych miejsc
249008,0,0,0,event bez numerowanych miejsc
249009,0,0,0,event bez numerowanych miejsc
249045,0,0,0,event bez numerowanych miejsc
249051,0,0,0,event bez numerowanych miejsc
249553,0,0,0,event bez numerowanych miejsc
249562,0,0,0,event bez numerowanych miejsc
249604,0,0,0,event bez numerowanych miejsc
249680,0,0,0,event bez numerowanych miejsc
249730,0,0,0,event bez numerowanych miejsc
249768,0,0,0,event bez numerowanych miejsc
249778,0,0,0,event bez numerowanych miejsc
249784,0,0,0,event bez numerowanych miejsc
248904,0,0,0,event bez numerowanych miejsc
248933,0,0,0,event bez numerowanych miejsc
248953,0,0,0,event bez numerowanych miejsc
248954,0,0,0,event bez numerowanych miejsc
248972,0,0,0,event bez numerowanych miejsc
249494,0,0,0,event bez numerowanych miejsc
249511,0,0,0,event bez numerowanych miejsc
